marc 21-02-2020

leabhar,dp,teideal,údar
ShanVV1896_06_05,15/02/2010,ShanVV1896_06_05,ní fios  
ShanVV1896_07_03,15/02/2010,ShanVV1896_07_03,ní fios
ShanVV1896_08_07,12/02/2010,ShanVV1896_08_07,ní fios
ShanVV1896_09_04,12/02/2010,ShanVV1896_09_04,ní fios
ShanVV1896_11_06,12/02/2010,ShanVV1896_11_06,ní fios
ShanVV1896_12_04,12/02/2010,ShanVV1896_12_04,ní fios
ShanVV1897_01_08,12/02/2010,ShanVV1897_01_08,ní fios
ShanVV1897_02_05,12/02/2010,ShanVV1897_02_05,ní fios
ShanVV1897_03_12,12/02/2010,ShanVV1897_03_12,ní fios
ShanVV1897_04_05,12/02/2010,ShanVV1897_04_05,ní fios
ShanVV1897_05_03,12/02/2010,ShanVV1897_05_03,ní fios
ShanVV1897_06_07,12/02/2010,ShanVV1897_06_07,ní fios
ShanVV1897_07_05,12/02/2010,ShanVV1897_07_05,ní fios
ShanVV1897_08_02,12/02/2010,ShanVV1897_08_02,ní fios
ShanVV1897_10_04,12/02/2010,ShanVV1897_10_04,ní fios
ShanVV1897_11_01,12/02/2010,ShanVV1897_11_01,ní fios
ShanVV1897_12_06,12/02/2010,ShanVV1897_12_06,ní fios
ShanVV1898_01_03,12/02/2010,ShanVV1898_01_03,ní fios
ShanVV1898_02_07,12/02/2010,ShanVV1898_02_07,ní fios
ShanVV1898_04_04,12/02/2010,ShanVV1898_04_04,ní fios
ShanVV1898_05_02,12/02/2010,ShanVV1898_05_02,ní fios
ShanVV1898_06_06,12/02/2010,ShanVV1898_06_06,ní fios
ShanVV1898_07_04,12/02/2010,ShanVV1898_07_04,ní fios
ShanVV1898_08_01,12/02/2010,ShanVV1898_08_01,ní fios
ShanVV1898_09_05,12/02/2010,ShanVV1898_09_05,ní fios
ShanVV1898_10_03,12/02/2010,ShanVV1898_10_03,ní fios
ShanVV1899_01_02,15/02/2010,ShanVV1899_01_02,ní fios
ShanVV1899_03_06,12/02/2010,ShanVV1899_03_06,ní fios
AM005, 19/02/2010,Eachtradh Eibhlís i dTír na nIongantas,Lewis Carrol
M201,02/03/2010,Seanfhocail na Muimhneach, Pádraig Ó Siochfhradha
NL265,18/02/2010,Fisic IV - Meicnic,Liam Ó Lúbaigh & Murchadh Ó Síthigh
ShanVV1898_11_07, 12/02/2010,ní fios
ShanVV1898_12_12, 12/02/2010,ní fios
ShanVV1899_02_06, 12/02/2010,ní fios
Éir35_09_07, 01/02/2010,Éir35_09_07,ní fios
Éir35_09_14, 01/02/2010,Éir35_09_14,ní fios
Éir35_09_21, 03/03/2010,Éir35_09_21,ní fios
Éir35_09_28, 15/02/2010,Éir35_09_28,ní fios
Éir35_10_05, 15/02/2010,Éir35_10_05,ní fios
Éir35_10_12, 01/02/2010,Éir35_10_12,ní fios
Éir35_10_19, 01/02/2010,Éir35_10_19,ní fios
Éir35_10_26, 01/02/2010,Éir35_10_26,ní fios
Éir35_11_02, 03/03/2010,Éir35_11_02,ní fios
Éir35_11_09, 01/02/2010,Éir35_11_09,ní fios
Éir35_11_16, 01/02/2010,Éir35_11_16,ní fios
Éir35_11_23, 01/02/2010,Éir35_11_23,ní fios
Éir35_11_30, 15/02/2010,Éir35_11_30,ní fios
Éir35_12_07, 03/03/2010,Éir35_12_07,ní fios
Éir35_12_14, 16/02/2010,Éir35_12_14,ní fios
Éir35_12_21, 04/03/2010,Éir35_12_21,ní fios
Éir36_01_04, 16/02/2010,Éir36_01_04,ní fios
Éir36_01_11, 17/02/2010,Éir36_01_11,ní fios
Éir36_01_18, 08/02/2010,Éir36_01_18,ní fios
Éir36_01_25, 17/02/2010,Éir36_01_25,ní fios
NL143,  09/04/2010, Algébar Iolscoile,Máirtín Ó Tnúthail
NL456,  12/04/2010, Miontuairiscí an Chéad Dála 1919-1921,Dáil Éireann
NL457,  12/04/2010, Tuairisc Oifigiúil, Dáil Éireann
Sguab1923_10,15/04/2010,Sguab1923_10,ní fios
Sguab1923_12,15/04/2010,Sguab1923_12,ní fios
Sguab1924_01,15/04/2010,Sguab1924_01,ní fios
Éir36_02_01, 17/02/2010,Éir36_02_01,ní fios
Éir36_02_08, 03/03/2010,Éir36_02_08,ní fios
Éir36_02_15, 01/02/2010,Éir36_02_15,ní fios
Éir36_02_22, 03/03/2010,Éir36_02_22,ní fios
Éir36_02_29, 08/02/2010,Éir36_02_29,ní fios
Éir36_03_07, 08/02/2010,Éir36_03_07,ní fios
Éir36_03_14, 05/03/2010,Éir36_03_14,ní fios
Éir36_03_21, 09/02/2010,Éir36_03_21,ní fios
Éir36_03_28, 09/03/2010,Éir36_03_28,ní fios
Éir36_04_04, 26/02/2010,Éir36_04_04,ní fios
Éir36_04_11, 11/02/2010,Éir36_04_11,ní fios
Éir36_04_18, 15/02/2010,Éir36_04_18,ní fios
Éir36_04_25, 24/02/2010,Éir36_04_25,ní fios
Éir36_05_02, 24/02/2010,Éir36_05_02,ní fios
Éir36_05_09, 19/02/2010,Éir36_05_09,ní fios
Éir36_05_23, 03/03/2010,Éir36_05_23,ní fios
Éir36_05_30, 05/03/2010,Éir36_05_30,ní fios
Éir36_06_06, 05/03/2010,Éir36_06_06,ní fios
Éir36_06_13, 01/04/2010,Éir36_06_13,ní fios
Éir36_06_20, 14/04/2010,Éir36_06_20,ní fios
Éir36_06_27, 26/04/2010,Éir36_06_27,ní fios
Éir36_07_04, 14/04/2010,Éir36_07_04,ní fios
Éir36_07_11, 14/04/2010,Éir36_07_11,ní fios
Éir36_07_18, 01/04/2010,Éir36_07_18,ní fios
Éir36_07_25, 22/04/2010,Éir36_07_25,ní fios
Éir36_08_22, 22/04/2010,Éir36_08_22,ní fios
Éir36_08_29, 20/04/2010,Éir36_08_29,ní fios
Éir36_09_05, 22/04/2010,Éir36_09_05,ní fios
Éir36_09_12, 22/04/2010,Éir36_09_12,ní fios
Éir36_09_19, 22/04/2010,Éir36_09_19,ní fios
NL027, 10/05/2010,B'fhiú an Braon Fola,Séamas Ó Maoileoin 
NL479, 12/05/2010,Thríd an Fhuinneoig,Peadar Ó Dubhda 
NL802, 24/05/2010,Trasna na Bóinne,Earnán De Blaghad
NL052,25/05/2010,Príomhthairgí an Domhain, Seán Ó Cíosáin
NL695,02/06/2010,Síoladóirí, Bráthair Críostamhail
A091, 15/06/2010,Aenéis Bhirgil - leabhar 2,údair éagsúil         
A186, 17/06/2010,Riail ár Naomh-Athar Beiniadhacht,An tAthair Colmcille        
A232, 28/06/2010,Fíon Franncach, Guy De Maupassant        
A237a,06/07/2010, Tiomna Nua ár dTighearna agus Ár Slánuigteora, ní fios        
A237b,06/07/2010, Tiomna Nua ár dTighearna agus Ár Slánuigteora, ní fios       
A237c,06/07/2010, Tiomna Nua ár dTighearna agus Ár Slánuigteora, ní fios       
A237d,06/07/2010, Tiomna Nua ár dTighearna agus Ár Slánuigteora, ní fios       
A237e,06/07/2010, Tiomna Nua ár dTighearna agus Ár Slánuigteora, ní fios
Cearnóg1923_07,15/06/2010,    An Chearnóg,  
Cearnóg1923_10_11,15/06/2010, An Chearnóg,  
Cearnóg1924_01,07/07/2010,    An Chearnóg,  
Cearnóg1924_08_09,16/06/2010, An Chearnóg,  
Cearnóg1925_01.TX,06/07/2010, An Chearnóg,  
Comhar1971, 15/06/2010,  Comhar,           
Európ1899_10,15/06/2010, An tEorópach            
LM113,28/06/2010, Thar Bealach Isteach, M. An tSiúr de Lourdes                 
LU010,06/07/2010, Is Truagh ná Fanann an Óige, Mícheál Ó Gaoithín                
LU052,14/06/2010, Tarngaireacht Mhiseóige,Séamus Ó Grianna                  
NL281,17/06/2010, Amhráin Áthais, An tSiúr Máire na nAingeal
A008.26/08/2010, Tús na Céimseatan-Leabhar a hAon, Joseph Brown
A187.30/08/2010, Mion-mhíniú ar an dTeagasg Críostaidhe, ní fios
A207.30/08/2010, Finnsgéalta na h-Araibe Cuid 1, ní fios
A209.,01/09/2010 ,Rubáiiát Omár Caiiám ó Naíseápúr, Eadbhard Mhic Gearailt(aistritheoir) 
A295,06/09/2010 ,Urnaighe na Maidne de réir úsáide Eaglaise na hÉireann,Eaglais na hÉireann
AM013,01/09/2010 ,Fabhail-scéalta ó Aesop 1, Aesop
AM014,03/09/2010 ,Fabhail-scéalta ó Aesop 2, Aesop
AM018,03/09/2010 ,Fabhail-scéalta ó Aesop 3, Aesop
LC108,02/09/2010 ,Gormfhlaith, Tomás Ua Concheannainn
LM089a,02/09/2010,Annála na Tuatha I,Pádraig Ó Séagha
LM089b,02/09/2010,Annála na Tuatha I,Pádraig Ó Séagha
LM090,02/09/2010 ,Annála na Tuatha II,Pádraig Ó Séagha
LM091,02/09/2010 ,Annála na Tuatha III,Pádraig Ó Séagha
LM122,03/09/2010 ,Litreacha Gaedhilge le hAghaidh an Aosa Óig, An tAthair Pádraig Ua Duinnín
NL196,06/09/2010 ,Cúntaisíocht, Cormac Ó Cadhlaigh
NL219,09/09/2010 ,Nua-Dhánta,Liam S. Gógan 
NL273,02/09/2010 ,An Salfáthóir Gaedhealach,Tomás Ó hAodha
NL325,02/09/2010 ,Comhlacht Uise in Éirnn,Anraoi Breathnach & Pádraig Ó Domhnaill
NL402,03/09/2010 ,Síol na Saoirse, Brian Ó hUiginn
NL513,03/09/2010 ,Róisín Fiain na Mara,ní fios
NL528,08/09/2010 ,Leabhar Filidheachta Fá Choinne na Sco, éags
NL536,23/09/2010 ,Sgéal Sheandúin,Tadhg Ó Murchadha 
NL541,02/09/2010 ,Grádh & Crádh,Úna Ní Fhaircheallaigh
NL544,22/09/2010 ,Ar Lorg an t-Seanchaidhe, Peadar Ó Dubhda
NL544T,22/09/2010,An t-Seanchaidhe, Peadar Ó Dubhda 
NL545,09/09/2010 ,Fiacha Mac Aodha Ua Broin,Pádraig Mac Aodha             
NL546,03/09/2010 ,Mac Dathó, Tomás Ó Máille 
NL587,06/09/2010 ,Saothar Suadha:Cuid a hAon,éags
NL588,06/09/2010 ,Saothar Suadha:Cuid a Dó,éags
C156, 20/10/2010,Fréamhacha na hÉireann, éags
LC054,18/10/2010,An Ghaoth Aniar, Tomás Ó Máille
LC059,19/10/2010,Síol Éabha, Pádraic Ó Conaire
LM029,08/10/2010,Éan Cuideáin, Pádraic Ó Conaire
LM035,21/10/2010,Éire - Léigheachta ar Stair na hÉireann 1, Pádraig Ó Séadha
LM036,08/10/2010,An Buaiceas,Pádraig Ó Séadha 
LM037,12/10/2010,Eoghan Paor,Pádraig Ó Séadha 
LM087,06/10/2010,Beirt Ghaedhilgeoirí 'na gComhnuidhe 'sa Chathair, Dómhnall Ó Murchadha
LM099,19/10/2010,Prátaí Mhíchíl Thaidhg, Séamus Ua Dubhghaill
LM101,18/10/2010,Cléibhín Móna,Séamus Ua Dubhghaill 
LM102,19/10/2010,Tadhg Gabha,Séamus Ua Dubhghaill 
LM127,20/10/2010,Seaghán an Díomais, Pádraig Ó Séadha
M083, 19/10/2010,Cosa Buidhe Arda II, Fionán Mac Coluim
M179, 19/10/2010,Ceól Sidhe-1-6, éags
M186, 18/10/2010,Reacaireacht Ghrinn na Tuaithe,Tadhg Ó Conchubhar
NL079,05/10/2010,Prosóid Gaedhilge, Tadhg Ó Donnchadha
NL400,18/10/2010,Tuaim Inbheir & Dánta Eile, Mícheál Ó Murchú
NL543,19/10/2010,Cúirt na Dalla agus Sgéal Eile, Shán Ó Cuív
NL552,23/09/2010,Saothar ár Sean i gCéin, Séan Ó Ceallaigh
NL565,20/10/2010,An Dúthchas, Máire Ní Cheinnéide;
AM011, 30/11/2010,Toradh na Gaedhilge ar Aitheasc agus ar Ghréithribh na nGaedheal,Liam Ó Briain
LC037, 28/10/2010,Eoghan Paor,Pádraig Ó Séaghdha
LC097, 30/11/2010,Tír na n-Iongantas,Pádraic Ó Conaire
LM012, 28/10/2010,Róisín Bán an tSléibhe,Nioclás Tóibín 1890-1966
LM013, 28/10/2010,Teoiní agus Tighthe Lóistín agus Dhá Scéal Eile,Nioclás Tóibín 1890-1966
LM088, 30/11/2010,Notes on Irish Words and Usages,ní fios
LM092, 30/11/2010,Sgéalaidheacht na Macabéach I agus II,An tAthair Peadar Ua Laoghaire 
NL223, 11/11/2010,Gaethe Gréine I - Aistidhe Duais Oireachtais,éags
NL355, 11/11/2010,Fiche Duan, éags
NL883, 26/10/2010,Gaethe Gréine II,éags
NL913, 05/11/2010,Súil Uí Dhubhda le hÁrd na Ríogh,Seaghán Ua Ruaidhrí & Seosamh Laoide
T043, 05/11/2010,Luibhleabhrán,ní fios    
A211, 02/12/2010,Leabhar Geograiphe,aistritheoir
AC021,03/12/2010,Blátha Bealtaine, Máire de Buitléir
LC095,07/12/2010,Bairbre Ruadh,Pádraic Ó Conaire
LC128,03/12/2010,Mac Gníomhartha Bhriain, Tomás Ua Concheanainn
LM093,10/12/2010,An Baile Seo 'gainn-ne - Cnuasach Sgéal n-Úrnua, Pádraig Ó Siochfhradha
LM100,01/12/2010,Measgán Músgraighe - Cnuasach beag sgéalaidheachta,bail
LM103,19/10/2010,Muinntear na Tuatha, Séamus Ó Dubhghaill 1855-1929
LM129,08/12/2010,An Tobar Draoidheachta, An tAthair Pádraig Ua Duinnín
M195,03/12/2010,Sean-Fhocail na Mumhan - 1, Tadhg Ua Donnchadha 
NL077,01/12/2010,Luibheólas,Seán Tóibín
NL113,01/12/2010,Teacht agus Imtheacht an Ghiolla Dheacair,Seosamh Laoide
NL182,01/12/2010,An Cruinneolaidhe, Seaghán Mac an Bhaird
NL213,01/12/2010,Cad ba dhóbair dó agus Sgeulta Eile, Liam Ó Rinn
NL538,03/12/2010,An Mháthair & Sgéalta Eile, Pádraig Mac Piarais
NL554,03/12/2010,Eithne nó Éan an Cheoil Bhinn, An tAthair Tomás Ó Ceallaigh
NL568,08/12/2010,Ceachta Mion-Eoluis i gCóir Leanbhaí Scoile,Éamonn Ó Donnchadha
NL575,07/12/2010,Casadh an tSúgáin, Dubhghlas de hÍde
NL585,01/12/2010,Ceachta na hEaladhan : i nGaedhilg agus i Saxbhéarla, Proinnsias Ó Ceallacháin & Pádraig Ó Conaire
NL617,03/12/2010,Ór-sgeul an Chreidimh, J P Craig
NL618,09/12/2010,Maon, Seosamh T Ó Ceit
NL619,06/12/2010,Árus na nGabhadh agus Sgéalta Eile, Leon Ó Broin
NL722,03/12/2010,Caoimhghín Ó Cearnaigh, Uilliam Ó Riain
NL723,03/12/2010,I dTaobh na hOibre, Eoghan Ó Neachtain     
 A216,12/01/2011,An Béar,Anton Chekov
AC002,19/01/2011,Cnoc na nGabha I, Charles J Kickham
AM015,31/01/2011,Stair Choitchean na ré Críostaidhe, imleabhar 1 ón tús do chum Éirighe Amach na bProtastún (1-1517),Nioclas Uebern
LC035,18/01/2011,Deoraidheacht, Pádraig Ó Conaire
LC096,19/01/2011,Beathadh Sheagháin Mhic h-Éil,éags
LC126,05/01/2011,Leabhar Cainte Gaedhilge - Béarla, Tomás Ua Concheanainn
LM033,23/12/2010,Cath Fionntrágha, Pádraig Ó Siochfhradha
LM039,28/01/2011,Ár nDóithin Araon,An tAthair Peadar Ua Laoghaire
LM050,04/01/2011,Eachtra na mBróg, Seán Ó Cadhla
LM055,28/01/2011,Clocha Sgáil, Seán Ó Dálaigh
LM131,04/01/2011,Seaghán na Scuab,Tomás Ó hAodha
NL430,19/01/2011,Tochmarc Fhearbhlaidhe,éags
NL475,27/01/2011,Trí Torpáin, éags
NL537,19/01/2011,Íosagán agus Sgéalta Eile, Pádraig Mac Piarais
NL574,19/01/2011,Suantraidh agus Goltraidhe,Pádraig Mac Piarais
NL681 Cuid a Dó,14/01/2011,An Modh Díreach, Seaghán P Mac Énrí
NL681 Cuid a hAon,19/01/2011,An Modh Díreach, Seaghán P Mac Énrí 
NL706,Scéalta Andeas,28/01/2011, éags
NL721,Greann na Gaedhilge,19,01,2011 Énrí Ó Muirgheasa
AC003,           15/02/2011,Cnoc na nGabha II, Charles J Kickham
AC004,           01/02/2011,Cnoc na nGabha III, Charles J Kickham
AC005,           01/02/2011,Cnoc na nGabha IV, Charles J Kickham
LC033,           11/02/2011,Seacht mBuaidh an Eirghe Amach, Pádraig Ó Conaire
LC127,           11/02/2011,An Dochtúir, Séamus Ó Beirn
LM068,           18/02/2011,Ladhar den Lus Mhór
LR1920_02,       23/02/2011, LR1920_02,ní fios
NL047,           11/02/2011,Gramadach Dhá-Theangthach, Seosamh Laoide & Tadhg Ó Coindealbháin
NL116,           14/02/2011,Bruidhean Chaorthainn,éags
NL426,           16/02/2011,Oidhe Chloinne Tuireann,éags
ShanVV1896_03_06,15/02/2011,ShanVV1896_03_06,éags
ShanVV1896_04_03,15/02/2011,ShanVV1896_04_03,éags
ShanVV1896_05_01,15/02/2011,ShanVV1896_05_01,éags
ShanVV1896_06_05,15/02/2011,ShanVV1896_06_05,éags
ShanVV1896_07_03,15/02/2011,ShanVV1896_07_03,éags
ShanVV1896_08_07,15/02/2011,ShanVV1896_08_07,éags
ShanVV1896_09_04,15/02/2011,ShanVV1896_09_04,éags
ShanVV1896_11_06,15/02/2011,ShanVV1896_11_06,éags
ShanVV1896_12_04,15/02/2011,ShanVV1896_12_04,éags
ShanVV1897_01_08,15/02/2011,ShanVV1897_01_08,éags
ShanVV1897_02_05,15/02/2011,ShanVV1897_02_05,éags
ShanVV1897_03_12,15/02/2011,ShanVV1897_03_12,éags
ShanVV1897_04_05,15/02/2011,ShanVV1897_04_05,éags
ShanVV1897_05_03,15/02/2011,ShanVV1897_05_03,éags
ShanVV1897_06_07,15/02/2011,ShanVV1897_06_07,éags
ShanVV1897_07_05,15/02/2011,ShanVV1897_07_05,éags  
ShanVV1897_08_02,15/02/2011,ShanVV1897_08_02,éags
ShanVV1897_10_04,15/02/2011,ShanVV1897_10_04,éags  
ShanVV1897_11_01,15/02/2011,ShanVV1897_11_01,éags  
ShanVV1897_12_06,15/02/2011,ShanVV1897_12_06,éags  
ShanVV1898_01_03,15/02/2011,ShanVV1898_01_03,éags  
ShanVV1898_02_07,15/02/2011,ShanVV1898_02_07,éags  
ShanVV1898_04_04,15/02/2011,ShanVV1898_04_04,éags  
ShanVV1898_05_02,15/02/2011,ShanVV1898_05_02,éags  
ShanVV1898_06_06,15/02/2011,ShanVV1898_06_06,éags  
ShanVV1898_07_04,15/02/2011,ShanVV1898_07_04,éags  
ShanVV1898_08_01,15/02/2011,ShanVV1898_08_01,éags  
ShanVV1898_09_05,15/02/2011,ShanVV1898_09_05,éags  
ShanVV1898_10_03,15/02/2011,ShanVV1898_10_03,éags  
ShanVV1898_11_07,15/02/2011,ShanVV1898_11_07,éags  
ShanVV1898_12_12,15/02/2011,ShanVV1898_12_12,éags  
ShanVV1899_01_02,15/02/2011,ShanVV1899_01_02,éags  
ShanVV1899_02_06,15/02/2011,ShanVV1899_02_06,éags    
ShanVV1899_03_06,15/02/2011,ShanVV1899_03_06,éags
C124,25/03/2011,An Solas Dearg, Antoine Ó Flatharta
IG01,31/03/2011,Irisleabhar na Gaedhilge,éags
LR1912_05,30/03/2011,Lóchrann,éags
Lr1916_05,24/02/2011,Lóchrann, éags 
Lr1916_06,  25/03/2011,Lóchrann,éags 
Lr1916_07, 07/03/2011,Lóchrann,éags 
Lr1926_12, 01/03/2011,Lóchrann,éags 
M007,24/03/2011,Réilthíní Óir I, An tAthair Seoirse Mac Clúin
NL136 Foclóir,24/03/2011,Dearg-ruathar Chonaill Chearnaigh,éags
NL724,03/03/2011,Fan Nóiméad,éags
NL909,24/03/20111,Teanga Thíoramhuil na h-Eireann,Tomás Ruiséal Ó Néill           
Európ1900_03,13/04/2011,Európ1900_03,éags 
Európ1900_05,13/04/2011,Európ1900_05,éags
Európ1900_08,13/04/2011,Európ1900_08,éags
LC098,06/01/2011,Lóchrann,éags 
M008, 04/04/2011,Réilthíní Óir II, An tAthair Seoirse Mac Clúin 
JCLAS002_01 ,03/05/2011,JCLAS002_01,éags
JCLAS004_03 ,03/05/2011,JCLAS004_03,éags
Past1920 ,03/05/2011,Past1920,éags   
Past1921 ,03/05/2011,Past1921,éags   
Past1925 ,29/04/2011,Past1925,éags
L374,10/06/2011,Lá agus Oidhche,Mícheál Mac Liammhóir   
M173,13/06/2011,Ceol Ár Sinsear 1-7,éags
C037,07/03/2012,Curadh Glas an Eolais,Tomás Bhid(Tommuny)
U129,27/03/2012,Sgéaltan X Rachreann,éags
Sguab1922_10,13/03/2012,Sguab1922_10,éags
Sguab1922_11,13/03/2012,Sguab1922_11,éags
Sguab1922_12,02/04/2012,Sguab1922_12,éags
Sguab1923_01,14/03/2012,Sguab1923_01,éags
Sguab1923_02,14/03/2012,Sguab1923_02,éags
Sguab1923_03,22/03/2012,Sguab1923_03,éags
Sguab1923_04,27/03/2012,Sguab1923_04,éags
Sguab1923_05,26/03/2012,Sguab1923_05,éags
Sguab1923_06,23/03/2012,Sguab1923_06,éags
Sguab1923_07,22/03/2012,Sguab1923_07,éags
Sguab1923_08,22/03/2012,Sguab1923_08,éags
Sguab1923_09,22/03/2012,Sguab1923_09,éags     
Sguab1923_11,15/03/2012,Sguab1923_11,éags       
Sguab1924_02,27/03/2012,Sguab1924_02,éags       
Sguab1924_03,28/03/2012,Sguab1924_03,éags
Sguab1924_05,22/03/2012,Sguab1924_05,éags
Sguab1924_08,27/03/2012,Sguab1924_08,éags
Sguab1924_10,02/04/2012,Sguab1924_10,éags
Ult1924_03,05/01/2012,Ult1924_03,éags
Ult1924_05,06/03/2012,Ult1924_05,éags
C041,11/05/2012,Dréachta, Pádraig Ó Domhnalláin
M082,14/05/2012,Cosa Buidhe Arda I, Fionán Mac Coluim
NL153,10/05/2012,Tíreóluidhe ar Éirinn,Seán Tóibín
NL291,02/05/2012,Eolaidhe na Cruinne,Caitlín Nic Gabhann
NL357,11/05/2012,Maidean i mBéarra agus Dánta Eile,Osborn Ó hAimhirgín
U128,21/05/2012,Ceólta Óméith,An tAthair Lorcán Ó Muireadhaigh
U130,11/05/2012,Siamsán na Beanna Fada,éags
LC081,20/06/2012,Béal an Uaignis,Pádraic Ó Conaire        
LM019,29/06/2012,Séadna, An tAthair Peadar Ua Laoghaire        
LC067,17/07/2012,Solus an Ghrádha, Pádhraic Óg Ó Conaire
LM020,16/07/2012,Consain na Gaeilge, Máirtín Ó Cadhain        
NL912,17/07/2012,Láimh-leabhar na Gaedhilge - A Handbook of Modern Irish Part II,An Dr Mac Énrí        
LC034,15/08/2012,An Chéad Chloch - Sgéalta, Pádraic Ó Conaire       
C042, 05/10/2012,Ar Lorg an Ríogh agus Sgéalta Eile,Pádhraic Ó Domhnalláin        
LC064,15/10/2012,Mian a Croidhe,Pádhraig Óg Ó Conaire        
LM017,04/10/2012,Niamh,An tAthair Peadar Ó Laoghaire
Gad.1912_03-CEART ,05/11/2012,Gad.1912_03-CEART    
Gad.1912_101-CEAR ,05/11/2012,Gad.1912_101-CEAR   
Gad.1913 - CEART ,05/11/2012, Gad.1913 - CEART    
IN1916_07,26/11/2012,IN1916_07,éags
IN1916_09,26/11/2012,IN1916_09,éags
IrM1919_06 - CEAR,19/04/2012,éags    
IrRev._1911_03,27/11/2012,IrRev._1911_03,éags    
IrRev._1911_04,27/11/2012,IrRev._1911_04,éags    
IrRev._1911_05,27/11/2012,IrRev._1911_05,éags    
IrRev._1911_06,27/11/2012,IrRev._1911_06,éags    
IrRev._1911_08,27/11/2012,IrRev._1911_08,éags    
IrRev._1912_03,23/04/2012,IrRev._1912_03,éags     
IrRev._1912_04,05/11/2012,IrRev._1912_04,éags     
IrRev._1912_06,27/11/2012,IrRev._1912_06,éags    
IrRev._1912_08,06/11/2012,IrRev._1912_08,éags    
IrRev._1913_06,18/10/2012,IrRev._1913_06,éags    
IrRev._1913_08,27/11/2012,IrRev._1913_08,éags    
IrRev._1913_09,27/11/2012,IrRev._1913_09,éags    
IrRev._1913_10,28/11/2012,IrRev._1913_10,éags    
IrRev._1913_11,28/11/2012,IrRev._1913_11,éags    
IrRev._1913_12,28/11/2012,IrRev._1913_12,éags
IrRev._1914_01,28/11/2012,IrRev._1914_01,éags
IrRev._1914_02,29/11/2012,IrRev._1914_02,éags
IrRev._1914_07_08,29/11/2012,IrRev._1914_07_08,éags
IrRev._1914_09_11,29/11/2012,IrRev._1914_09_11,éags
IrRos.03,29/11/2012,IrRos.03,éágs
IrRos.04,29/11/2012,IrRos.04,éágs
JCLAS001_01,29/11/2012,JCLAS001_01,éags
JCLAS001_03,29/11/2012,JCLAS001_03,éags
Sguab1924_09,20/03/2013, Sguab1924_09,éags
Sguab1924_11,20/03/2013, Sguab1924_11,éags
Sguab1924_12,26/02/2013, Sguab1924_12,éags      
Sguab1925_01,22/03/2013, Sguab1925_01,éags      
Sguab1925_02,20/03/2013, Sguab1925_02,éags     
Sguab1925_03,21/02/2013, Sguab1925_03,éags                                                                  
sguab1925_04,10/04/2013, sguab1925_04,éags   
Sguab1925_05,18/12/2012, Sguab1925_05,éags   
Sguab1925_06,18/12/2012, Sguab1925_06,éags
Sguab1925_07,22/03/2013, Sguab1925_07,éags
Sguab1925_08,09/04/2013, Sguab1925_08,éags
Sguab1925_09,22/03/2013, Sguab1925_09,éags
Sguab1925_10,11/02/2013, Sguab1925_10,éags
Sguab1925_11,20/03/2013, Sguab1925_11,éags
Sguab1925_12,20/03/2013, Sguab1925_12,éags
Sguab1926_01,20/03/2013, Sguab1926_01,éags 
Sguab1926_02,20/03/2013, Sguab1926_02,éags 
Sguab1926_03,06/03/2013, Sguab1926_03,éags 
Sguab1926_04,09/04/2013, Sguab1926_04,éags 
Sguab1926_05,14/03/2013, Sguab1926_05,éags 
Sguab1926_06,27/02/2013, Sguab1926_06,éags 
Lr1910_11_12,28/05/2013,Lr1910_11_12,éags  
Lr1911_09_10,12/02/2013,Lr1911_09_10,éags  
Lr1913_02,10/05/2013,Lr1913_02,éags  
Lr1916_04,28/05/2013,Lr1916_04,éags  
Lr1916_08,01/05/2013,Lr1916_08,éags  
Lr1916_09,20/06/2013,Lr1916_09,éags  
Lr1916_10,10/05/2013,Lr1916_10,éags  
Lr1916_11,23/05/2013,Lr1916_11,éags  
Lr1916_12,01/05/2013,Lr1916_12,éags  
Lr1917_01,28/05/2013,Lr1917_01,éags  
Lr1917_02,28/05/2013,Lr1917_02,éags  
Lr1917_03,20/06/2013,Lr1917_03,éags  
Lr1917_04,23/05/2013,Lr1917_04,éags  
Lr1917_05,20/06/2013,Lr1917_05,éags  
Lr1917_06,16/05/2013,Lr1917_06,éags  
Lr1917_07,20/06/2013,Lr1917_07,éags  
Lr1917_08,28/05/2013,Lr1917_08,éags  
Lr1917_09,06/06/2013,Lr1917_09,éags  
Lr1917_12,20/06/2013,Lr1917_12,éags  
Lr1918_02,21/06/2013,Lr1918_02,éags  
Lr1919_03,20/06/2013,Lr1919_03,éags  
LR1919_05,04/06/2013,LR1919_05,éags  
Lr1925_12,28/05/2013,Lr1925_12,éags  
Lr1926_07,28/05/2013,Lr1926_07,éags  
Lr1926_09,28/05/2013,Lr1926_09,éags  
Lr1926_10,10/12/2012,Lr1926_10,éags  
Ult1924_02,03/07/2013,Ult1924_02,éags
Ult1924_06,09/01/2013,Ult1924_06,éags
Ult1924_07,03/07/2013,Ult1924_07,éags
Ult1924_12,03/07/2013,Ult1924_12,éags
Ult1925_06,03/07/2013,Ult1925_06,éags
Lr1917_10,24/06/2013,Lr1917_10,éags                   
Lr1917_11,01/08/2013,Lr1917_11,éags
Lr1918_01,25/06/2013,Lr1918_01,éags
Lr1918_03,03/07/2013,Lr1918_03,éags
Lr1918_04,26/08/2013,Lr1918_04,éags
Lr1918_05,10/07/2013,Lr1918_05,éags
Lr1918_06,18/07/2013,Lr1918_06,éags
