marc 21-02-2020

leabhar,dp,teideal,údar
LM033,11/09/2006,Cath Fionntrágha,Pádraig Ó Siochfhradha  
LM069,21/09/2006,Cnuasacht Trágha,Sheehan, M. Rev.
LM070,21/09/2006,Gabha na Coille,Sheehan, M. Rev.
LM071,21/09/2006,Gile na mBláth,Sheehan, M. Rev.
LM077,08/08/2006,Scríbhne Risteard de Hindeberg,údair éagsúla
LM093,11/09/2006,An  Cnuasach Sgéal n-Úrnua Baile Seo 'gainn-ne,Ó Siochfhradha, Pádraig 
LM096,21/09/2006,Lughaidh Mac Con,An tAthair Peadar Ua Laoghaire
LU002,12/09/2006,Go mBeannuighthear Dhuit,Micheál Ó Gríobhtha 
LU059,14/09/2006,An t-Oileánach,Ó Criomhthain, Tomás 
NL273,31/08/2006,An Salfáthóir Gaedhealach,Tomás Ó hAodha
NL291,31/08/2006,Eolaidhe na Cruinne,Nic Gabhann, Caitlín
C137,18/10/2006,Annála Beaga ó Iorrus Aithneach, Seán Mac Giollarnáth
LM030,28/09/2006,Cómhairle Ár Leasa,An tAthair Peadar Ua Laoghaire, An tAthair
M065,28/09/2006,Peats na Baintreabhaighe,Nóra Ní Shéaghdha 
M171,18/10/2006,Diarmuid na Bolgaighe agus a Chomhursain,údair éagsúla
NL196,27/09/2006,Cúntaisíocht,Cormac Ó Cadhlaigh  
NL360,27/09/2006,Féile na nÓglach,Liam P.Ó Riain  
NL536,26/09/2006,Sgéal Sheandúin,Tadhg Ó Murchadha, 
C009,27/10/2006,Idir Shúgradh agus Dáiríre,Máirtín Ó Cadhain 
C119,24/10/2006,Gróga Cloch,Pádraic Breathnach
LC094,30/10/2006,Trom & Éadtrom : aistí, Breathnach, Micheál
LM038,27/09/2006,Mac Fínghin Dubh,PádraiÓ Séaghdha
LM092,29/09/2006,Sgéalaidheacht na Macabéach I agus II,An tAthair Peadar Ua Laoghaire 
LM120,19/10/2006,Jimín Mháire Thaidhg,Pádraig Ó Siochfhradha, 
LM122,27/10/2006,Litreacha Gaedhilge le hAghaidh an Aosa Óig,An tAthair Pádraig Ua Duinnín
M016,19/10/2006,Caint an tSean-shaoghail,Ó Muirithe, Tomás
M017,27/09/2006,Cúrsaí an tSean-shaoghail,Tomás Ó Muirithe 
M025,27/09/2006,Béaloideas Bhéal Átha an Ghaorthaidh,Conchubhar Ó Muimhneacháin 
NL154,25/10/2006,Tír na hÉireann,Séamus Ó Duirinne  
NL213,24/10/2006,Cad ba dhóbair dó agus Sgeulta Eile,Liam Ó Rinn
NL356,19/10/2006,Áille an Domhain,Úna Ní Fhaircheallaigh 
NL369,27/10/2006,Astronár,Piaras Béaslaí  
NL402,19/10/2006,Síol na Saoirse,Brian Ó hUiginn
NL538,30/10/2006,An Mháthair & Sgéalta Eile,Pádraig Mac Piarais  
NL539,30/10/2006,Ceart na Sua,Liam Ó Catháin 
NL540,27/10/2006,Cath Fionntrá,Aogán Ó Muircheartaigh 
NL541,30/10/2006,Grádh & Crádh,Úna Ní Fhaircheallaigh 
NL544,30/10/2006,Ar Lorg an t-Seanchaidhe,Peadar Ó Dubhda 
U016,27/10/2006,Eoghan Ruadh Ó Néill,Seosamh Mac Grianna 
U021,25/10/2006,Dá mBeadh Ruball ar an Éan,Seosamh Mac Grianna
U032,27/10/2006,Dírbheathaisnéis Néill Mhic Ghiolla Bhrighde,Niall Mac Giolla Bhríghde
C010,06/11/2006,An Braon Broghach,Máirtín Ó Cadhain            
Im an Oir 007,17/11/2006,ní fios 
LC037,17/11/2006,Sgéalaidhe Leitir Mealláin,Peadar Ó Direáin        
LC040,15/11/2006,Conamara,Pádhraic Ó Domhnalláin         
LC042,15/11/2006,Ar Lorg an Ríogh agus Sgéalta Eile,Pádhraic Ó Domhnalláin      
LC047,13/11/2006,An Troid agus an t-Uaigneas,An tAthair Liam Ó Beirn      
LC056,14/11/2006,Scéalta Chois Teallaigh,Tadhg S.Seoighe      
LC058,14/11/2006,Eachtra Múinteóra,Seán Seoighe      
LC065,14/11/2006,Naoi nGábhadh an Ghiolla Dhuibh,Ó Máille, Micheál   
LC071,17/11/2006,Oidhre an Léighinn agus Scéalta Eile,Pádraic Ó Domhnalláin  
LM004,15/11/2006,Dubhaltach Mac Firbhisigh,Eoghan Ua Neachtain 
LM011,15/11/2006,Cré na Cille,Máirtín Ó Cadhain  
LM026,15/11/2006,Eochaidh Mac Rí 'n-Éirinn,Micheál Ó Máille  
LM075,07/11/2006,Idir na Fleadhanna,Áine Ní Fhoghludha 
LM081,17/11/2006,Saothar Dhámh-Sgoile Mhúsgraidhe,Dómhnall Ó Ceocháin 
LM086,15/11/2006,Eachtra Thaidhg Mhic Céin,Pádraig Ó Siochfhradha 
LM095,09/11/2006,Duanaire Dúithch 'Ealla,Ó Conchubhair, Domhnall 
LM104,16/11/2006,Beartín Luachra,Séamus Ó Dubhghaill 
LM106,16/11/2006,Fánaí,Seán Óg Ó Caomhánaigh  
M024,19/11/2006,Bricriu,An tAthair Peadar Ua Laoghaire 
M070,15/11/2006,Duanaire Duibhneach,údair éagsúla
M093,23/10/2006,An Baile Seo 'gainn-ne, Cnuasach Sgéal n-Úrnua,Pádraig Ó Siochfhradha  
NL079,19/11/2006,Prosóid Gaedhilge,Tadhg Ó Donnchadha 
NL387,19/11/2006,Cúrsaí Thomáis,Éamonn Mac Giolla Iasachta 
NL537,16/11/2006,Íosagán agus Sgéalta Eile,Pádraig Mac Piarais 
NL545,13/11/2006,Fiacha Mac Aodha Ua Broin,Pádraig Mac Aodha 
U028,13/11/2006,Clann a' Phroifeasair,Anraí Mac Giolla Chomhaill
A078,21/12/2006,Bonn agus Forsgreamh na hÉireann,Eibhlín De Buitléir 
AO38,21/12/2006,Stair na hÉireann 1,John Ryan  
LU043,21/12/2006,Feara Fáil,Séamus Ó Grianna  
NL083,20/12/2006,An Cholann Bheo,M.A. Mac Conaill,  
NL421,01/12/2006,Ceannracháin Cathrach,Seán Mac Maoláin 
NL447,18/12/2006,Diarmaid Mac Chearbhaill,Cormac Ó Cadhlaigh
A208,08/01/2007,Leabhar na nIongantas,Richard Halliburton   
AO18,06/01/2007,Réim na Réalt,Sir James Jeans, 
C050,03/01/2007,Ceól na n-Oileán,An tAthair Tomás Ó Ceallaigh  
C144,04/01/2007,Seanchas Inis Meáin,údair éagsúla 
LC032,03/01/2007,Seóid ó'n Iarthar Órdha,Pádhraic Óg Ó Conaire 
LC054,05/01/2007,An Ghaoth Aniar,Tomás Ó Máille  
LC068,05/01/2007,An Fraoch Bán,Pádhraic Óg Ó Conaire 
LC069,05/01/2007,Draoidheacht na Fairrge,Pádhraic Óg Ó Conaire
